"month","Class","n","Class.name"
Mar 2021,4651,81,"Wholesale of computers, computer peripheral equipment and software"
Mar 2021,4652,73,"Wholesale of electronic and telecommunications equipment and parts"
Mar 2021,4661,19,"Wholesale of agricultural machinery, equipment and supplies"
Mar 2021,4662,7,"Wholesale of machine tools"
Mar 2021,4663,8,"Wholesale of mining, construction and civil engineering machinery"
Mar 2021,4664,2,"Wholesale of machinery for the textile industry and of sewing and knitting machines"
Mar 2021,4665,12,"Wholesale of office furniture"
Mar 2021,4666,9,"Wholesale of other office machinery and equipment"
Mar 2021,4669,42,"Wholesale of other machinery and equipment"
Mar 2021,4671,32,"Wholesale of solid, liquid and gaseous fuels and related products"
Mar 2021,4672,21,"Wholesale of metals and metal ores"
Mar 2021,4673,31,"Wholesale of wood, construction materials and sanitary equipment"
Mar 2021,4674,38,"Wholesale of hardware, plumbing and heating equipment and supplies"
Mar 2021,4675,19,"Wholesale of chemical products"
Mar 2021,4676,28,"Wholesale of other intermediate products"
Mar 2021,4677,29,"Wholesale of waste and scrap"
Mar 2021,4690,534,"Non-specialised wholesale trade"
Mar 2021,4711,444,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
Mar 2021,4719,742,"Other retail sale in non-specialised stores"
Mar 2021,4721,64,"Retail sale of fruit and vegetables in specialised stores"
Mar 2021,4722,54,"Retail sale of meat and meat products in specialised stores"
Mar 2021,4723,31,"Retail sale of fish, crustaceans and molluscs in specialised stores"
Mar 2021,4724,175,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
Mar 2021,4725,79,"Retail sale of beverages in specialised stores"
Mar 2021,4726,25,"Retail sale of tobacco products in specialised stores"
Mar 2021,4729,200,"Other retail sale of food in specialised stores"
Mar 2021,4730,8,"Retail sale of automotive fuel in specialised stores"
Mar 2021,4741,89,"Retail sale of computers, peripheral units and software in specialised stores"
Mar 2021,4742,105,"Retail sale of telecommunications equipment in specialised stores"
Mar 2021,4743,15,"Retail sale of audio and video equipment in specialised stores"
Mar 2021,4751,62,"Retail sale of textiles in specialised stores"
Mar 2021,4752,33,"Retail sale of hardware, paints and glass in specialised stores"
Mar 2021,4753,62,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
Mar 2021,4754,45,"Retail sale of electrical household appliances in specialised stores"
Mar 2021,4759,183,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
Mar 2021,4761,48,"Retail sale of books in specialised stores"
Mar 2021,4762,15,"Retail sale of newspapers and stationery in specialised stores"
Mar 2021,4763,27,"Retail sale of music and video recordings in specialised stores"
Mar 2021,4764,248,"Retail sale of sporting equipment in specialised stores"
Mar 2021,4765,97,"Retail sale of games and toys in specialised stores"
Mar 2021,4771,787,"Retail sale of clothing in specialised stores"
Mar 2021,4772,42,"Retail sale of footwear and leather goods in specialised stores"
Mar 2021,4773,24,"Dispensing chemist in specialised stores"
Mar 2021,4774,43,"Retail sale of medical and orthopaedic goods in specialised stores"
Mar 2021,4775,218,"Retail sale of cosmetic and toilet articles in specialised stores"
Mar 2021,4776,161,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
Mar 2021,4777,105,"Retail sale of watches and jewellery in specialised stores"
Mar 2021,4778,259,"Other retail sale of new goods in specialised stores"
Mar 2021,4779,76,"Retail sale of second-hand goods in stores"
Mar 2021,4781,46,"Retail sale via stalls and markets of food, beverages and tobacco products"
Mar 2021,4782,93,"Retail sale via stalls and markets of textiles, clothing and footwear"
Mar 2021,4789,81,"Retail sale via stalls and markets of other goods"
Mar 2021,4791,4400,"Retail sale via mail order houses or via Internet"
Mar 2021,4799,1268,"Other retail sale not in stores, stalls or markets"
Apr 2021,4511,590,"Sale of cars and light motor vehicles"
Apr 2021,4519,164,"Sale of other motor vehicles"
Apr 2021,4520,534,"Maintenance and repair of motor vehicles"
Apr 2021,4531,61,"Wholesale trade of motor vehicle parts and accessories"
Apr 2021,4532,126,"Retail trade of motor vehicle parts and accessories"
Apr 2021,4540,37,"Sale, maintenance and repair of motorcycles and related parts and accessories"
Apr 2021,4611,23,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
Apr 2021,4612,21,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
